Nama Wilayah,,,,,,,,
,Garis Kemiskinan Menurut Kabupaten/Kota (Rupiah/kapita/bulan),,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
ACEH,410956,435454,464626,486935,522126,541109,579227,627534
Simeulue,326563,350622,368068,404739,444754,458896,493303,538693
Aceh Singkil,368968,406015,427804,450217,473983,487249,518951,568691
Aceh Selatan,304466,332177,351288,369107,405786,418689,446224,494565
Aceh Tenggara,221799,250854,340196,357015,392493,404725,430825,471301
Aceh Timur,350186,369911,398493,417715,440455,460422,491550,530934
Aceh Tengah,397859,427170,445250,468577,492227,505933,533810,584863
Aceh Barat,441909,446614,447089,471058,517264,533712,558638,616091
Aceh Besar,384545,398752,422051,447563,477938,489498,519320,564431
Pidie,393370,408150,435873,462059,493145,504452,535713,579450
Bireuen,317562,335314,358399,393198,410203,422685,451163,486667
Aceh Utara,301733,318729,340086,353856,375394,392412,420615,454361
Aceh Barat Daya,306930,329543,340903,358059,393640,406157,430297,474127
Gayo Lues,301546,323482,368583,387893,425529,438689,470221,514836
Aceh Tamiang,368691,389459,420841,437991,459387,479801,508599,555387
Nagan Raya,374236,400811,426827,446144,493121,508801,544300,594374
Aceh Jaya,331940,356060,373690,391677,428094,441706,468854,515244
Bener Meriah,363796,383289,413208,431643,457916,476074,512111,551868
Pidie Jaya,399377,429966,448201,455995,481308,495254,523239,572452
Kota Banda Aceh,541732,572295,607391,628493,674977,698617,737016,814530
Kota Sabang,492787,523705,552272,563100,599381,620373,660573,715446
Kota Langsa,323246,347056,371267,380906,407421,435438,469348,512319
Kota Lhokseumawe,319988,343558,367525,376832,401158,427045,460583,498431
Kota Subulussalam,250408,273370,315453,351093,400517,418643,444818,487777
SUMATERA UTARA,388156,411345,435970,466122,502904,525756,561004,602999
Nias,330111,346374,353141,361698,405355,428739,454570,485533
Mandailing Natal,304669,319777,336820,356058,400721,423017,450345,487436
Tapanuli Selatan,326321,340065,343407,364798,397363,420431,445612,480834
Tapanuli Tengah,353753,367687,369471,376474,406646,429050,450940,489760
Tapanuli Utara,325606,344644,357464,377948,406813,437428,466316,499881
Toba Samosir,326501,345591,352860,373020,404864,435332,465681,496950
Labuhan Batu,333144,352622,368357,389402,425035,457021,489503,524240
Asahan,292030,305868,315420,330460,351314,377752,397944,427293
Simalungun,315947,331860,342477,359540,387549,416714,441744,467926
Dairi,293666,310836,325176,341511,380275,408893,436713,463360
Karo,400261,423663,437702,460870,500921,531519,563660,606244
Deli Serdang,347030,363371,381173,390440,413202,428123,448489,479509
Langkat,348205,364517,382536,392050,412422,432371,453383,483543
Nias Selatan,238119,249225,261104,279468,312453,329308,350452,379929
Humbang Hasundutan,301663,313545,329189,336500,374768,397237,419180,451625
Pakpak Bharat,248835,256781,283258,287654,311584,332644,357844,384812
Samosir,271619,287857,299640,315825,341843,370082,396267,425875
Serdang Bedagai,336478,350892,361623,382283,416991,448372,478072,503955
Batu Bara,347533,363741,381651,408417,452393,477564,508524,556529
Padang Lawas Utara,278290,291036,321076,342885,380379,401435,430944,467457
Padang Lawas,268922,281464,310569,332350,367932,388404,418610,449217
Labuhan Batu Selatan,330874,346305,355517,368205,404819,426574,448994,486275
Labuhan Batu Utara,361017,378024,395696,422063,471678,497922,527922,573783
Nias Utara,370371,381696,383552,390564,429836,455118,474533,501443
Nias Barat,352570,361397,386431,393450,433249,458533,487469,520543
Kota Sibolga,391681,413454,415478,425236,453786,485527,516367,568188
Kota Tanjung Balai,345900,374442,397647,421671,444125,482602,515456,554065
Kota Pematang Siantar,429365,464794,474084,502726,536486,583588,631886,670183
Kota Tebing Tinggi,383650,415307,426469,460533,493227,536531,578512,623531
Kota Medan,460685,491496,518420,532055,553796,577126,607166,651901
Kota Binjai,343078,371387,380792,403798,433746,466554,499451,538638
Kota Padangsidimpuan,326579,348074,363468,382884,417455,453777,480196,523244
Kota Gunungsitoli,304727,318585,327303,339671,370967,408190,426349,459787
SUMATERA BARAT,425141,453612,476554,503652,544315,568703,610941,667925
Kepulauan Mentawai,263793,280695,294284,310033,340191,356403,386152,421113
Pesisir Selatan,366228,390955,409882,431817,467743,491573,526564,554057
Solok,376748,400887,408570,415649,451906,461030,484358,532900
Sijunjung,344153,365074,379046,400861,433147,455346,484572,529460
Tanah Datar,346267,361037,369833,379041,420049,441793,466907,515587
Padang Pariaman,374636,385736,402960,411182,455463,475342,499461,548147
Agam,315804,327004,341372,379304,424728,444711,485222,530290
Lima Puluh Kota,357824,370506,388689,403030,451295,475123,504670,553068
