38 Provinsi,Upah Rata - Rata Per Jam Pekerja Menurut Provinsi (Rupiah/Jam),,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
ACEH,13627,14809,13814,15065,18099,17037,16772,17585
SUMATERA UTARA,11646,13396,13257,14061,15949,15486,15131,17609
SUMATERA BARAT,13206,14378,14431,15210,17571,16630,15887,16694
RIAU,15506,15182,15613,16270,18411,19144,18626,18413
JAMBI,13169,14326,14007,14304,15840,16043,16042,17596
SUMATERA SELATAN,12523,12690,13214,13580,15072,15873,15978,16273
BENGKULU,13471,14011,14353,14511,17407,18271,16501,17410
LAMPUNG,10385,11234,11779,12575,14912,15224,13218,13958
KEP. BANGKA BELITUNG,14257,14822,15818,17373,15763,17692,18132,20141
KEP. RIAU,21019,19832,23212,22912,25032,25736,23528,27640
DKI JAKARTA,23181,23826,25238,25236,28420,30662,32685,42354
JAWA BARAT,14791,16202,16843,17365,19078,19716,19038,21194
JAWA TENGAH,9965,10569,11417,11828,12707,13072,12604,13381
DI YOGYAKARTA,12070,12281,12554,13275,15771,15098,14916,16478
JAWA TIMUR,11226,11883,12561,13119,14389,14789,15119,15155
BANTEN,21033,19719,20565,21003,23035,24839,23880,24685
BALI,14852,15624,15889,16408,17775,17662,16857,18521
NUSA TENGGARA BARAT,9940,10962,11359,11954,13627,12992,11734,12933
NUSA TENGGARA TIMUR,12868,12281,12318,12610,17696,16386,13012,14770
KALIMANTAN BARAT,13580,14734,14614,15309,16098,16127,16337,19303
KALIMANTAN TENGAH,16515,16737,17489,18090,20677,21040,19795,20257
KALIMANTAN SELATAN,14007,15507,15735,16517,18863,18874,18661,18938
KALIMANTAN TIMUR,18514,21864,21303,21691,24097,23943,22281,22509
KALIMANTAN UTARA,17547,20392,18931,20639,26002,22972,20320,22366
SULAWESI UTARA,16046,17112,16954,18350,21390,20963,18335,19270
SULAWESI TENGAH,13238,13770,13462,14682,18140,20637,15890,16392
SULAWESI SELATAN,14827,15841,15777,17105,19172,19217,17257,17776
SULAWESI TENGGARA,23444,16604,15944,15849,20449,19302,17542,18884
GORONTALO,13088,12784,11891,13492,15128,14613,14289,15138
SULAWESI BARAT,11730,12741,12144,13126,18136,18072,14774,16387
MALUKU,16153,16275,14923,17306,26198,21156,17006,17156
MALUKU UTARA,15226,15760,15864,17425,23338,21131,18278,27078
PAPUA BARAT,18314,19911,21727,22987,27904,29600,24128,25695
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-
PAPUA,22961,25657,25987,24984,32138,30382,24097,28570
PAPUA SELATAN,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-
INDONESIA,14068,14731,15275,15823,17696,18089,17542,19027
,,,,,,,,
Catatan,"<br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><ul><li>Sumber: Sakernas, BPS",</li><li>Tahun 2015-2019 angka revisi karena perubahan penimbang<br /></li></ul><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br />,,,,,,
