38 Provinsi,Tingkat Setengah Pengangguran Menurut Provinsi (Persen),,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
ACEH,11.57,13.29,11.3,12.38,16.18,13.16,10.46,10.49
SUMATERA UTARA,10.47,8.9,8.42,7.68,10.43,9.67,6.83,6.73
SUMATERA BARAT,10.78,11.77,9.74,9.2,12.93,10.28,8.68,9.81
RIAU,12.38,10.37,8.57,8.29,11.87,9.95,7.42,8.03
JAMBI,9.03,8.67,7.43,8.57,11.25,9.75,7.46,9.26
SUMATERA SELATAN,9.66,8.73,8.33,9.22,12.98,10.93,7.08,8.46
BENGKULU,10.37,10.47,8.32,10.12,13.09,11.16,8.02,9.31
LAMPUNG,7.18,10.49,9.3,8.66,13.18,10.33,6.92,8.51
KEP. BANGKA BELITUNG,7.14,5.9,5.92,6.25,9.11,6.05,3.37,5.35
KEP. RIAU,2.85,4.22,3.81,2.84,5.75,6.17,4.95,4.8
DKI JAKARTA,2.33,2.55,1.99,1.89,6.43,6.76,2.71,2.96
JAWA BARAT,6.18,6.28,5.39,5.52,10.31,8.8,5.62,6.32
JAWA TENGAH,6.2,6.38,5.19,5.36,8.6,7.23,5.39,6.4
DI YOGYAKARTA,5.21,4.4,4.25,3.94,8.04,6.37,4.76,5.62
JAWA TIMUR,7.01,6.14,5.79,5.23,8.99,7.47,5.77,5.74
BANTEN,7.84,4.91,4.23,4.52,9.53,7.84,4.57,5.11
BALI,3.6,3.48,2.36,1.93,8.62,8.53,3.93,2.57
NUSA TENGGARA BARAT,13.87,17.27,16.82,13.97,16.83,15,13.3,12.83
NUSA TENGGARA TIMUR,11.11,12.9,12.25,11.79,15.1,14.19,12.5,10.73
KALIMANTAN BARAT,7.97,10.14,9.17,7.93,10.42,9.62,7.21,6.78
KALIMANTAN TENGAH,8.95,9.15,7.14,6.05,8.04,6.01,5.38,6.11
KALIMANTAN SELATAN,8.34,7.64,5.76,6.67,9.38,8.28,6.76,6.48
KALIMANTAN TIMUR,6.69,4.9,4.2,4.74,7.14,5.97,4.81,3.45
KALIMANTAN UTARA,4.32,7.24,7.68,6.44,8.33,7.16,6.19,5.29
SULAWESI UTARA,7.91,9.24,8.16,6.38,11.05,8.8,6.27,6.05
SULAWESI TENGAH,9.88,11.64,10.4,9.1,10.53,10.38,7.62,7.68
SULAWESI SELATAN,7.82,9.52,7.37,7.34,9.96,7.42,6.23,7.09
SULAWESI TENGGARA,9.19,10.76,11.18,8.46,10.49,10.45,8.14,10.32
GORONTALO,7.83,8.13,9.15,6.16,7.68,6.08,6.1,8.32
SULAWESI BARAT,9.27,11.71,8.36,9.91,11.98,10.65,13.04,10.42
MALUKU,10.94,12.33,9.27,10.76,14.2,12.75,11.8,10.43
MALUKU UTARA,7.23,9.9,7.64,8.15,10.78,9.76,9.28,7.32
PAPUA BARAT,11.46,12.27,8.57,8.9,13.18,12.06,12.29,7.81
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-
PAPUA,13.07,11.25,7.51,7.03,11.26,8.72,5.85,4.39
PAPUA SELATAN,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-
INDONESIA,7.58,7.55,6.61,6.42,10.19,8.71,6.32,6.68
,,,,,,,,
Catatan,"<br /><br /><br />Sumber: Sakernas, BPS",<br /><br /><br /><br />,,,,,,
