id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,tempat_kejadian,jumlah_kekerasan,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,RUMAH TANGGA,3,KASUS,2018
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,TEMPAT KERJA,0,KASUS,2018
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAINNYA,2,KASUS,2018
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,SEKOLAH,1,KASUS,2018
5,32,JAWA BARAT,3201,KABUPATEN BOGOR,FASILITAS UMUM,0,KASUS,2018
6,32,JAWA BARAT,3201,KABUPATEN BOGOR,LEMBAGA PENDIDIKAN KILAT,0,KASUS,2018
7,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RUMAH TANGGA,8,KASUS,2018
8,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,TEMPAT KERJA,0,KASUS,2018
9,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAINNYA,69,KASUS,2018
10,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SEKOLAH,0,KASUS,2018
11,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,FASILITAS UMUM,0,KASUS,2018
12,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LEMBAGA PENDIDIKAN KILAT,0,KASUS,2018
13,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RUMAH TANGGA,3,KASUS,2018
14,32,JAWA BARAT,3203,KABUPATEN CIANJUR,TEMPAT KERJA,0,KASUS,2018
15,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAINNYA,1,KASUS,2018
16,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SEKOLAH,0,KASUS,2018
17,32,JAWA BARAT,3203,KABUPATEN CIANJUR,FASILITAS UMUM,0,KASUS,2018
18,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LEMBAGA PENDIDIKAN KILAT,0,KASUS,2018
19,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RUMAH TANGGA,21,KASUS,2018
20,32,JAWA BARAT,3204,KABUPATEN BANDUNG,TEMPAT KERJA,1,KASUS,2018
21,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAINNYA,7,KASUS,2018
22,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SEKOLAH,7,KASUS,2018
23,32,JAWA BARAT,3204,KABUPATEN BANDUNG,FASILITAS UMUM,9,KASUS,2018
24,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LEMBAGA PENDIDIKAN KILAT,0,KASUS,2018
25,32,JAWA BARAT,3205,KABUPATEN GARUT,RUMAH TANGGA,5,KASUS,2018
26,32,JAWA BARAT,3205,KABUPATEN GARUT,TEMPAT KERJA,0,KASUS,2018
27,32,JAWA BARAT,3205,KABUPATEN GARUT,LAINNYA,1,KASUS,2018
28,32,JAWA BARAT,3205,KABUPATEN GARUT,SEKOLAH,1,KASUS,2018
29,32,JAWA BARAT,3205,KABUPATEN GARUT,FASILITAS UMUM,1,KASUS,2018
30,32,JAWA BARAT,3205,KABUPATEN GARUT,LEMBAGA PENDIDIKAN KILAT,0,KASUS,2018
31,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,RUMAH TANGGA,12,KASUS,2018
32,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,TEMPAT KERJA,0,KASUS,2018
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAINNYA,10,KASUS,2018
34,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SEKOLAH,2,KASUS,2018
35,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,FASILITAS UMUM,19,KASUS,2018
36,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LEMBAGA PENDIDIKAN KILAT,0,KASUS,2018
37,32,JAWA BARAT,3207,KABUPATEN CIAMIS,RUMAH TANGGA,7,KASUS,2018
38,32,JAWA BARAT,3207,KABUPATEN CIAMIS,TEMPAT KERJA,0,KASUS,2018
39,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAINNYA,12,KASUS,2018
40,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SEKOLAH,0,KASUS,2018
41,32,JAWA BARAT,3207,KABUPATEN CIAMIS,FASILITAS UMUM,0,KASUS,2018
42,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LEMBAGA PENDIDIKAN KILAT,0,KASUS,2018
43,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,RUMAH TANGGA,6,KASUS,2018
44,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,TEMPAT KERJA,0,KASUS,2018
45,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAINNYA,6,KASUS,2018
46,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SEKOLAH,6,KASUS,2018
47,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,FASILITAS UMUM,0,KASUS,2018
48,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LEMBAGA PENDIDIKAN KILAT,0,KASUS,2018
49,32,JAWA BARAT,3209,KABUPATEN CIREBON,RUMAH TANGGA,17,KASUS,2018
50,32,JAWA BARAT,3209,KABUPATEN CIREBON,TEMPAT KERJA,1,KASUS,2018
51,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAINNYA,1,KASUS,2018
52,32,JAWA BARAT,3209,KABUPATEN CIREBON,SEKOLAH,1,KASUS,2018
53,32,JAWA BARAT,3209,KABUPATEN CIREBON,FASILITAS UMUM,2,KASUS,2018
54,32,JAWA BARAT,3209,KABUPATEN CIREBON,LEMBAGA PENDIDIKAN KILAT,0,KASUS,2018
55,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,RUMAH TANGGA,7,KASUS,2018
