38 Provinsi,Garis Kemiskinan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Perkotaan,,,,,,,,,,,,,,,,,,,,,,,,,,,Perdesaan,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,,2023,,,2024,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,,2023,,,2024,,
Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,
ACEH,427970,445488,-,458011,479872,-,486338,496752,-,501617,517900,-,541451,543685,-,565776,577270,-,606394,646232,-,657772,-,-,696048,-,-,403985,415826,-,425730,442869,-,454740,467242,-,479569,497615,-,512886,514663,-,529035,541000,-,565762,602900,-,612007,-,-,643398,-,-
SUMATERA UTARA,398408,413835,-,425693,438894,-,448363,465790,-,483667,506538,-,518218,520529,-,543085,556437,-,583221,615227,-,626782,-,-,667922,-,-,377748,388707,-,396033,407157,-,421586,435492,-,445815,470545,-,484717,486642,-,504685,513987,-,534184,563783,-,573500,-,-,610264,-,-
SUMATERA BARAT,441523,454674,-,472614,475365,-,496142,507557,-,526008,551366,-,562567,565531,-,580937,592302,-,622579,668643,-,682515,-,-,723567,-,-,413790,425520,-,439220,441415,-,460249,466430,-,483939,510457,-,527830,529673,-,556181,566224,-,598431,638946,-,652709,-,-,691901,-,-
RIAU,426346,439542,-,463248,474626,-,491379,499402,-,513739,546515,-,570462,572856,-,595270,618552,-,642008,686945,-,698241,-,-,740222,-,-,425777,433960,-,450581,457368,-,471687,478445,-,491391,510421,-,526431,528735,-,546807,564900,-,582224,623910,-,632704,-,-,669374,-,-
JAMBI,438600,448615,-,457818,465233,-,487791,492364,-,511654,524643,-,549033,552498,-,583748,598178,-,635708,684555,-,699123,-,-,744044,-,-,342137,349735,-,360519,366036,-,398501,401765,-,418821,437987,-,453502,454754,-,470758,479006,-,503811,541267,-,552720,-,-,606150,-,-
SUMATERA SELATAN,388060,400159,-,410532,417828,-,437983,441049,-,446706,461122,-,469551,470800,-,485439,491658,-,515925,548455,-,556102,-,-,589596,-,-,331570,339874,-,347520,356020,-,374527,379052,-,389786,406006,-,421650,424369,-,441415,446678,-,467139,493882,-,500688,-,-,533792,-,-
BENGKULU,430572,458435,-,477801,490475,-,516954,530655,-,538508,568783,-,573222,576921,-,604269,624573,-,647836,686223,-,698802,-,-,736758,-,-,409863,427315,-,438342,449857,-,465424,474010,-,481918,499623,-,506010,509487,-,524492,548327,-,565952,599973,-,609241,-,-,640485,-,-
LAMPUNG,392488,398378,-,420227,427072,-,444246,453053,-,463654,477071,-,500720,504330,-,516003,535133,-,560467,595992,-,610614,-,-,640908,-,-,354678,357792,-,371894,377049,-,385965,392201,-,398937,416694,-,433843,437107,-,451211,472918,-,492623,523159,-,534575,-,-,560363,-,-
KEP. BANGKA BELITUNG,521773,553681,-,571229,595031,-,622935,656148,-,671054,705147,-,710634,716460,-,737934,753768,-,784988,836425,-,859301,-,-,892169,-,-,546998,573582,-,602942,623111,-,638300,672104,-,685433,725743,-,732570,736850,-,768414,791146,-,820543,872843,-,893380,-,-,930378,-,-
KEP. RIAU,494418,505980,-,516418,540062,-,563993,570910,-,597894,605210,-,616743,619461,-,644601,655506,-,687245,733248,-,747258,-,-,791352,-,-,466989,481687,-,492642,507795,-,528788,543187,-,556248,577259,-,595249,597899,-,614746,626811,-,659308,697732,-,708168,-,-,749604,-,-
DKI JAKARTA,510359,520690,-,536546,578247,-,593108,607778,-,637260,663355,-,680401,683339,-,697638,715052,-,738955,773370,-,792515,-,-,825288,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
JAWA BARAT,325017,332145,-,345151,354866,-,368680,372260,-,388979,402254,-,412902,416699,-,428832,438642,-,452653,480785,-,496201,-,-,525489,-,-,324937,331237,-,341682,353103,-,364151,367805,-,376860,391009,-,404091,411342,-,421757,433041,-,451305,477969,-,491013,-,-,517841,-,-
JAWA TENGAH,315269,322799,-,334522,339692,-,353240,359526,-,372882,387646,-,401771,404451,-,416825,427099,-,442479,469623,-,485511,-,-,517415,-,-,319188,322489,-,331673,337657,-,348206,355306,-,365607,376099,-,388796,392216,-,401139,419064,-,434785,459714,-,469003,-,-,495627,-,-
DI YOGYAKARTA,364786,370510,-,385308,413631,-,426580,432018,-,452628,472666,-,487173,488461,-,507007,517353,-,543821,573915,-,598925,-,-,628626,-,-,331308,337230,-,348061,352861,-,366256,369606,-,378873,392748,-,403173,404035,-,414240,438412,-,455583,480767,-,499942,-,-,524188,-,-
JAWA TIMUR,319662,329241,-,344164,372585,-,385009,399334,-,411731,418570,-,428175,428593,-,441709,459440,-,473017,499769,-,522690,-,-,551702,-,-,323779,328846,-,339537,347997,-,361493,368793,-,382327,388075,-,402503,406206,-,414429,428457,-,446375,473481,-,488437,-,-,516684,-,-
BANTEN,377052,382903,-,396608,421137,-,448518,468572,-,484618,507198,-,527777,532096,-,549111,567000,-,587768,617527,-,635207,-,-,671171,-,-,347765,351708,-,363588,373039,-,390309,405965,-,412007,433925,-,460721,474487,-,485525,497213,-,521311,544957,-,563440,-,-,590082,-,-
BALI,348571,357427,-,370615,371118,-,387566,393989,-,408795,424292,-,443070,451634,-,467189,474322,-,499572,530820,-,545700,-,-,586945,-,-,322660,328033,-,345342,350826,-,372828,376733,-,383118,387546,-,401291,407316,-,417722,429877,-,449697,476031,-,488634,-,-,520238,-,-
NUSA TENGGARA BARAT,343580,346581,-,355250,363697,-,377145,384479,-,396696,405087,-,417730,419924,-,434451,452855,-,470431,501586,-,511463,-,-,547412,-,-,326656,328775,-,337333,343387,-,356361,363755,-,374123,380691,-,393218,396500,-,412646,430381,-,448965,477824,-,485682,-,-,520679,-,-
NUSA TENGGARA TIMUR,386139,389661,-,406973,409382,-,418525,421855,-,441625,467314,-,494388,496191,-,508584,531194,-,558741,594016,-,614436,-,-,638261,-,-,306721,310296,-,326320,329136,-,336584,342303,-,353684,359011,-,376212,377246,-,385970,408769,-,429079,455543,-,471502,-,-,488995,-,-
KALIMANTAN BARAT,353143,366477,-,379187,401588,-,423128,434470,-,456525,477154,-,500131,504445,-,513341,540474,-,558787,592432,-,605687,-,-,643365,-,-,345480,360940,-,375621,394313,-,402349,413806,-,429220,441084,-,456192,458524,-,467362,486544,-,500049,529055,-,538992,-,-,567773,-,-
KALIMANTAN TENGAH,348254,357224,-,373219,378311,-,387139,403547,-,418029,443674,-,471684,478873,-,494153,499553,-,525228,557200,-,570559,-,-,600297,-,-,387202,392543,-,414002,418861,-,426596,440649,-,449184,464931,-,492603,498959,-,514743,537135,-,565361,603025,-,613490,-,-,640651,-,-
KALIMANTAN SELATAN,386462,399162,-,412452,434791,-,441218,447876,-,470293,483766,-,503748,508852,-,527240,536041,-,560053,588472,-,613880,-,-,643008,-,-,370612,380647,-,393097,407382,-,414494,424670,-,443928,470447,-,490254,495715,-,510372,517293,-,544795,572917,-,594141,-,-,621494,-,-
KALIMANTAN TIMUR,519653,535137,-,555880,564801,-,576265,601619,-,614221,643047,-,665970,675399,-,695824,706886,-,732195,772112,-,796193,-,-,838902,-,-,495975,510041,-,532719,554497,-,570012,589588,-,597451,628354,-,652620,656069,-,673636,692910,-,718550,758565,-,776285,-,-,822269,-,-
KALIMANTAN UTARA,523914,539499,-,562937,595802,-,604691,647330,-,679660,699082,-,714492,723478,-,739267,761840,-,804517,834774,-,851133,-,-,885655,-,-,499980,518305,-,537246,554548,-,561681,581681,-,609733,623915,-,632586,649761,-,665963,684582,-,719982,750406,-,765597,-,-,799327,-,-
SULAWESI UTARA,312328,314004,-,329330,331931,-,340347,352765,-,369608,377597,-,395983,402502,-,416158,423427,-,433470,460738,-,470822,-,-,498271,-,-,321985,322366,-,336837,340146,-,348023,360907,-,372194,381883,-,385957,392818,-,404635,411450,-,419589,446871,-,454781,-,-,481647,-,-
SULAWESI TENGAH,391070,399413,-,416453,430728,-,434414,437697,-,457193,481436,-,489881,492758,-,506383,516374,-,538018,565994,-,579063,-,-,612668,-,-,370392,376658,-,383097,400639,-,405707,418035,-,433870,460187,-,467770,478687,-,492234,500351,-,525665,552561,-,563068,-,-,594692,-,-
SULAWESI SELATAN,281676,286669,-,296644,303834,-,314549,327725,-,338997,354770,-,363361,375463,-,389804,403751,-,419172,443717,-,458859,-,-,485401,-,-,263674,267428,-,274434,287788,-,299917,306250,-,322223,331063,-,339743,350791,-,358330,368465,-,383414,405213,-,416532,-,-,436463,-,-
SULAWESI TENGGARA,289827,294286,-,297829,308624,-,311241,324276,-,336877,356235,-,366063,383839,-,394183,410332,-,420442,451180,-,463387,-,-,485632,-,-,271961,276978,-,279739,295496,-,298702,311592,-,321197,340065,-,350019,360123,-,369824,385845,-,394734,421684,-,431962,-,-,448359,-,-
GORONTALO,284308,287156,-,298492,312931,-,318195,327369,-,339000,353074,-,371201,375740,-,389959,401219,-,413279,436651,-,444797,-,-,475851,-,-,284190,285999,-,295057,304353,-,314727,323133,-,328597,351940,-,366811,373911,-,388609,398806,-,410188,432069,-,439013,-,-,469568,-,-
SULAWESI BARAT,273224,280117,-,295178,318376,-,321324,326426,-,328806,340649,-,354993,356967,-,368899,382292,-,404705,428974,-,437387,-,-,459812,-,-,290340,295739,-,304849,315137,-,318512,323561,-,328014,339838,-,349695,352269,-,363308,384598,-,405377,426299,-,432169,-,-,453719,-,-
MALUKU,412980,424788,-,437644,461552,-,467727,484316,-,520390,545855,-,558222,584061,-,596564,613316,-,639349,682707,-,694588,-,-,724132,-,-,415177,423698,-,435787,443565,-,448337,466508,-,499701,542606,-,552090,566497,-,580646,600344,-,625202,664124,-,676005,-,-,705301,-,-
MALUKU UTARA,390788,405368,-,410412,413797,-,428897,449693,-,474475,484064,-,488764,494703,-,516450,533231,-,541972,573792,-,599137,-,-,642484,-,-,371289,379454,-,383784,390914,-,405558,415541,-,432815,436033,-,452080,459580,-,478452,494997,-,503388,532361,-,550988,-,-,588740,-,-
PAPUA BARAT,487727,508262,-,515849,523381,-,530295,583530,-,597406,618279,-,629738,635539,-,654878,683148,-,700168,741776,-,765617,-,-,922150,-,-,466996,480945,-,488564,499086,-,505941,544623,-,555072,571637,-,596286,602290,-,613644,629885,-,641565,682461,-,702530,-,-,734247,-,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,765253,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,747651,-,-
PAPUA,466985,479294,-,498368,508403,-,542542,566903,-,588744,603458,-,611115,622346,-,634703,643071,-,676775,723346,-,743289,-,-,749674,-,-,412991,425264,-,441287,446994,-,482000,499615,-,520117,538088,-,542695,562412,-,573510,582157,-,608205,646116,-,661946,-,-,570295,-,-
PAPUA SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,646036,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,442090,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,920104,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,714270,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1283920,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,992374,-,-
INDONESIA,364527,372114,-,385621,400995,-,415614,425770,-,442063,458380,-,471822,475477,-,489848,502730,-,521494,552349,-,569299,-,-,601871,-,-,343647,350420,-,361496,370910,-,383908,392154,-,404398,418515,-,433281,437902,-,450185,464474,-,484209,513170,-,525050,-,-,556874,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catatan,<br /><ul><li></li><li>Data Provinsi Kalimantan Utara pada tahun 2013 dan 2014 masih bergabung dengan Provinsi Kalimantan Timur</li><li>Angka Provinsi Papua Barat dan Papua sebelum tahun 2024 merupakan angka provinsi sebelum mengalami pemekaran Daerah Otonom Baru (DOB)</li></ul><br />,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
